length,number_of_partitions,optimal_weight,executions,indices_skipped
550,500,550,12749029,14957946
550,550,550,12205726,15523349
600,100,1875,3127240,11914160
600,150,1352,5349794,15361206
600,200,1104,7877577,17375523
600,250,901,9673066,19119634
600,300,813,11997411,19457389
600,350,692,13176492,20187908
600,400,599,15306771,19339729
600,450,600,15498074,19928026
600,500,598,15947031,19881169
600,550,599,16424236,19553564
600,600,600,15265454,20734446
650,100,2324,3399948,14490177
650,150,1549,6107934,18704291
650,200,1256,8639742,21842083
650,250,1060,11740954,23282971
650,300,960,14482246,24081279
650,350,824,14696969,26528656
650,400,720,17419995,25715230
650,450,655,18375624,26041701
650,500,650,20581246,24615679
650,550,649,19587237,26011788
650,600,647,19322104,26426521
650,650,650,20626888,25143837
700,100,2725,3650640,17335710
700,150,1854,7007935,22278015
700,200,1467,9344844,26863206
700,250,1215,12575407,29302243
700,300,1049,16955408,29464342
700,350,970,16669884,33289466
700,400,840,21387280,31234170
700,450,760,22865252,31665798
700,500,699,22738700,33074450
700,550,698,25682868,30909882
700,600,700,26002325,30992525
700,650,700,25443323,31701127
700,700,697,25334862,31831688
750,100,3041,4220796,20109279
750,150,2175,7194257,26937918
750,200,1715,11042735,31389040
750,250,1377,14218627,35135248
750,300,1206,18857043,36166432
750,350,1068,22307683,37257892
750,400,960,22422140,40683035
750,450,846,26286478,39480797
750,500,749,29052159,38624716
750,550,750,26171759,42787216
750,600,750,29150127,40588448
750,650,750,30396217,39744458
750,700,750,31904635,38385640
750,750,749,30469465,39842910
800,100,3459,4731474,23189826
800,150,2453,8126341,31224559
800,200,1804,12323478,36829522
800,250,1513,15788275,41664325
800,300,1316,21403664,42971036
800,350,1153,24327043,45717257
800,400,1074,27781799,46804601
800,450,957,30044165,48081835
800,500,863,28357324,52430776
800,550,799,35783851,46913849
800,600,799,37468471,46511329
800,650,800,38801632,45957768
800,700,800,33655394,51506106
800,750,798,35791610,49519490
800,800,799,39347108,45986092
850,100,3886,5041004,26719021
850,150,2662,9068250,35873875
850,200,2175,12852114,43519611
850,250,1660,17696363,48477462
850,300,1505,22980345,51493080
850,350,1300,27007133,54388392
850,400,1192,32811208,54253917
850,450,1100,33833247,57773978
850,500,1023,38830207,56316618
850,550,902,39535279,58273646
850,600,849,44654202,55064323
850,650,848,41671115,59329510
850,700,849,44708270,57071955
850,750,850,46597977,55584348
850,800,850,45018280,57313645
850,850,849,47361249,54992776
900,100,4468,5204970,30641280
900,150,2990,9351307,41554543
900,200,2322,14513545,49574405
900,250,1921,19420255,56097295
900,300,1589,23711293,61608357
900,350,1433,30451814,63167436
900,400,1306,37160324,63381026
900,450,1225,39504924,66706026
900,500,1099,44900844,65852206
900,550,948,44115841,70176809
900,600,914,47690073,69264677
900,650,899,49078275,69786075
900,700,900,52777697,67368753
900,750,900,48338102,72587948
900,800,898,50749266,70578884
900,850,900,51503980,69973770
900,900,900,52910475,68589375
950,100,5015,5644380,34535595
950,150,3311,9831081,47410994
950,200,2575,14689110,57612565
950,250,2069,21034872,64448903
950,300,1808,26138819,70774556
950,350,1662,33950265,72765210
950,400,1451,35872793,79142282
950,450,1319,45460814,76476361
950,500,1224,46477016,81129759
950,550,1115,51629211,80519664
950,600,1031,56392657,79295818
950,650,950,58374163,79976412
950,700,949,55584659,84675516
950,750,950,59347762,82194513
950,800,950,61766141,80555734
950,850,950,60739634,81984341
950,900,950,63788023,79085552
950,950,950,65224729,77670946
100,100,100,84999,81651
150,100,150,263001,277374
150,150,150,276381,286094
200,100,266,481453,680147
200,150,200,604656,706544
200,200,200,653823,679477
250,100,433,766663,1263662
250,150,314,999290,1433135
250,200,250,1198448,1383577
250,250,250,1137647,1466478
300,100,557,1012905,2133645
300,150,395,1445558,2480592
300,200,299,1840315,2487935
300,250,300,2128053,2349797
300,300,299,1963340,2536610
350,100,746,1275361,3234914
350,150,520,2025131,3767244
350,200,413,2864127,3707848
350,250,360,2938230,4035845
350,300,349,3317229,3806446
350,350,349,3317730,3828045
400,100,958,1671689,4449811
400,150,700,2650468,5380632
400,200,546,3767250,5545950
400,250,414,4437905,5654895
400,300,399,4786604,5708296
400,350,400,4856076,5788424
400,400,400,4983223,5683377
450,100,1193,1870403,6109822
450,150,846,3267910,7374415
450,200,664,4406248,8145677
450,250,556,4960644,8873381
450,300,450,6498911,8114714
450,350,450,6402765,8612960
450,400,450,6818471,8346854
450,450,448,6405313,8782112
500,100,1455,2193301,7893149
500,150,1010,3764585,9861465
500,200,794,5718629,10569521
500,250,693,6334902,11862848
500,300,567,8377779,11102071
500,350,500,8947546,11311904
500,400,499,8861793,11799757
500,450,500,9820320,10990830
500,500,500,9393122,11440128
550,100,1720,2475669,9964506
550,150,1195,4421622,12560653
550,200,921,6292038,14229837
550,250,789,8354195,14829780
550,300,660,10444042,14649533
550,350,582,10296406,16079269
550,400,550,10644499,16510776
550,450,549,11935820,15621555
550,500,550,11285783,16421192
550,550,550,12480085,15248990
600,100,1999,3029520,12011880
600,150,1448,5243878,15467122
600,200,1096,7380519,17872581
600,250,942,10242052,18550648
600,300,836,11394284,20060516
600,350,712,12572990,20791410
600,400,612,15109943,19536557
600,450,599,14405200,21020900
600,500,599,16081770,19746430
600,550,598,15159208,20818592
600,600,600,16623826,19376074
650,100,2370,3118729,14771396
650,150,1541,5958635,18853590
650,200,1244,8231450,22250375
650,250,1050,10439824,24584101
650,300,949,13384234,25179291
650,350,848,16349068,24876557
650,400,720,17031893,26103332
650,450,648,16689014,27728311
650,500,648,17453389,27743536
650,550,650,20408937,25190088
650,600,650,21322708,24425917
650,650,650,20624203,25146522
700,100,2674,4005208,16981142
700,150,1925,6391664,22894286
700,200,1489,9903958,26304092
700,250,1234,11893746,29983904
700,300,1039,15641509,30778241
700,350,915,19796117,30163233
700,400,819,21375911,31245539
700,450,770,22815064,31715986
700,500,700,24905130,30908020
700,550,700,23196789,33395961
700,600,699,22575280,34419570
700,650,698,24201390,32943060
700,700,700,26080745,31085805
750,100,3032,4147616,20182459
750,150,2064,7607045,26525130
750,200,1693,11279451,31152324
750,250,1360,15101808,34252067
750,300,1182,18245744,36777731
750,350,1072,20496518,39069057
750,400,943,24610646,38494529
750,450,871,27036229,38731046
750,500,762,24547955,43128920
750,550,749,28626406,40332569
750,600,750,30679233,39059342
750,650,749,28358663,41782012
750,700,748,31945854,38344421
750,750,750,29442289,40870086
800,100,3394,4687519,23233781
800,150,2318,8183478,31167422
800,200,1883,12042839,37110161
800,250,1528,16480102,40972498
800,300,1387,20341862,44032838
800,350,1207,24799007,45245293
800,400,1118,28824772,45761628
800,450,938,31875483,46250517
800,500,876,31222489,49565611
800,550,797,31569689,51128011
800,600,798,37138635,46841165
800,650,799,37547705,47211695
800,700,800,37537978,47623522
800,750,800,32063727,53247373
800,800,800,39028052,46305148
850,100,3991,5003319,26756706
850,150,2741,9020382,35921743
850,200,2063,14099942,42271783
850,250,1778,18510924,47662901
850,300,1458,23238720,51234705
850,350,1313,25938272,55457253
850,400,1254,31595942,55469183
850,450,1088,36224029,55383196
